21:18.0	40.58473	116.3127	98.44473	8.129629	172.1619	6	北京市       	北京市县      	延庆县       
21:34.2	40.17424	116.2081	62.54422	13.80286	70.01337	6	北京市       	北京市县      	昌平县       
21:46.4	40.51122	116.3479	84.63562	8.73658	69.8852	6	北京市       	北京市县      	延庆县       
22:04.9	40.58508	116.3111	35.7759	3.816096	0	6	北京市       	北京市县      	延庆县       
22:14.8	39.81141	116.2339	75.17629	15.7747	70.15128	6	北京市       	北京市市辖区    	北京市市辖区    
22:22.5	40.1808	116.0999	205.6887	15.13112	70.01086	6	北京市       	北京市县      	昌平县       
22:49.8	40.12639	116.1397	85.6817	15.66751	42.53767	6	北京市       	北京市市辖区    	北京市市辖区    
23:09.3	40.18914	116.0841	70.32109	11.53987	70.00789	6	北京市       	北京市县      	昌平县       
23:10.5	40.59755	116.3563	25.4387	4.719063	0	5	北京市       	北京市县      	延庆县       
23:29.3	40.16444	116.1326	65.27334	11.44519	70.01704	6	北京市       	北京市县      	昌平县       
23:31.3	40.86463	116.357	90.94117	9.864804	166.8971	6	河北省       	张家口市      	赤城县       
23:45.4	39.90591	116.2023	40.3914	8.913964	70.11538	6	北京市       	北京市市辖区    	北京市市辖区    
23:48.3	40.82261	116.3069	112.1105	8.247209	69.76604	6	河北省       	张家口市      	赤城县       
23:48.4	40.26728	115.698	18.72796	5.574835	0	2	河北省       	张家口市      	怀来县       
23:50.6	41.75032	116.093	63.7022	12.54443	0	2	河北省       	承德市       	丰宁满族自治县   
24:16.1	40.17605	116.1756	204.4265	22.95315	0	6	北京市       	北京市县      	昌平县       
24:30.4	40.56192	116.381	22.36003	3.252368	0	5	北京市       	北京市县      	延庆县       
24:38.0	40.90694	116.2524	69.82867	8.677738	69.73357	6	河北省       	张家口市      	赤城县       
24:46.8	42.05502	116.1725	161.4931	12.08837	69.29108	6	内蒙古自治区    	锡林郭勒盟     	多伦县       
25:13.9	40.87059	116.452	66.96081	6.035904	55.63239	6	北京市       	北京市县      	怀柔县       
25:15.2	40.22753	116.1143	97.07832	14.79289	69.99326	6	北京市       	北京市县      	昌平县       
25:16.7	40.24424	116.1549	50.90234	8.573027	166.8971	6	北京市       	北京市县      	昌平县       
26:13.5	40.3073	116.1521	105.6824	8.671374	69.96276	6	北京市       	北京市县      	昌平县       
